asset,dropped_channel,tweets_dropped,pct_dropped,lrr_F,lrr_p,lrr_sig,pr_F,pr_p,pr_sig,hits_F,hits_p,hits_sig
DOGE,todayindefi,489,0.14,13.823,0.0,*,5.155,0.0,*,6.542,0.0002,*
DOGE,zhusu,2349,0.67,13.608,0.0,*,5.086,0.0,*,6.416,0.0003,*
LTC,0xPolygon,3670,1.05,11.937,0.0,*,5.045,0.0,*,6.326,0.0003,*
LTC,100trillionUSD,3215,0.92,12.541,0.0,*,4.892,0.0,*,6.199,0.0003,*
LTC,APompliano,10940,3.12,11.32,0.0,*,5.008,0.0,*,5.858,0.0006,*
LTC,AndreCronje123,40,0.01,12.332,0.0,*,5.002,0.0,*,6.297,0.0003,*
LTC,AndreCronjeTech,1506,0.43,11.788,0.0,*,8.572,0.0,*,6.409,0.0003,*
LTC,BTCTN,12128,3.46,11.38,0.0,*,5.607,0.0,*,6.246,0.0003,*
LTC,BY_DeFi,1239,0.35,12.474,0.0,*,4.923,0.0,*,6.269,0.0003,*
LTC,BarrySilbert,1750,0.5,10.942,0.0,*,8.214,0.0,*,5.504,0.0009,*
LTC,Bitcoin,1389,0.4,18.118,0.0,*,5.503,0.0,*,10.317,0.0,*
LTC,BitcoinMagazine,14566,4.15,12.565,0.0,*,7.603,0.0,*,4.832,0.0024,*
LTC,Blockstream,1791,0.51,12.244,0.0,*,5.087,0.0,*,6.245,0.0003,*
LTC,Blockworks_,8992,2.56,11.901,0.0,*,5.192,0.0,*,6.349,0.0003,*
LTC,CoinDesk,23659,6.74,11.978,0.0,*,8.706,0.0,*,6.9,0.0001,*
LTC,CoinDeskMarkets,777,0.22,12.347,0.0,*,4.998,0.0,*,6.33,0.0003,*
LTC,CoinMarketCap,9791,2.79,12.017,0.0,*,5.441,0.0,*,6.565,0.0002,*
LTC,Cointelegraph,57717,16.45,14.69,0.0,*,8.185,0.0,*,6.681,0.0002,*
LTC,CointelegraphZN,460,0.13,12.31,0.0,*,5.013,0.0,*,6.286,0.0003,*
LTC,DefiantNews,4813,1.37,12.914,0.0,*,4.74,0.0,*,6.127,0.0004,*
LTC,DylanLeClair_,8131,2.32,13.681,0.0,*,4.589,0.0,*,5.909,0.0005,*
LTC,ErikVoorhees,6016,1.71,11.636,0.0,*,5.01,0.0,*,6.542,0.0002,*
LTC,Grayscale,1154,0.33,12.208,0.0,*,5.029,0.0,*,6.322,0.0003,*
LTC,IOHK_Charles,3058,0.87,12.603,0.0,*,4.812,0.0,*,6.256,0.0003,*
LTC,JamieCrawleyCD,1003,0.29,12.4,0.0,*,4.962,0.0,*,6.337,0.0003,*
LTC,Liquid_BTC,735,0.21,12.509,0.0,*,4.937,0.0,*,6.247,0.0003,*
LTC,NeerajKA,10890,3.1,12.034,0.0,*,4.704,0.0,*,6.305,0.0003,*
LTC,NischalShetty,3238,0.92,12.517,0.0,*,4.926,0.0,*,6.196,0.0003,*
LTC,OurNetwork__,324,0.09,12.365,0.0,*,5.015,0.0,*,6.301,0.0003,*
LTC,RaoulGMI,8498,2.42,11.974,0.0,*,5.434,0.0,*,6.431,0.0002,*
LTC,SatoshiLite,1174,0.33,0.934,0.334,,7.397,0.0066,*,3.587,0.0584,
LTC,ShapeShift_io,480,0.14,12.36,0.0,*,5.008,0.0,*,6.316,0.0003,*
LTC,Stacks,2296,0.65,12.078,0.0,*,5.071,0.0,*,6.268,0.0003,*
LTC,THORChain,5086,1.45,12.278,0.0,*,4.795,0.0,*,6.308,0.0003,*
LTC,Tanzeel_Akhtar,999,0.28,12.285,0.0,*,5.036,0.0,*,6.354,0.0003,*
LTC,Unchained_pod,3129,0.89,12.25,0.0,*,5.056,0.0,*,6.378,0.0003,*
LTC,VitalikButerin,2642,0.75,62.263,0.0,*,6.44,0.0002,*,3.647,0.0122,*
LTC,WeekInEthNews,775,0.22,11.973,0.0,*,5.148,0.0,*,6.338,0.0003,*
LTC,aantonop,357,0.1,12.789,0.0,*,9.61,0.0,*,10.332,0.0,*
LTC,adam3us,10092,2.88,11.01,0.0,*,8.045,0.0,*,0.155,0.8563,
LTC,binance,9071,2.59,12.1,0.0,*,8.451,0.0,*,6.273,0.0003,*
LTC,bitfinex,1473,0.42,12.12,0.0,*,4.995,0.0,*,6.363,0.0003,*
LTC,brian_armstrong,1285,0.37,17.862,0.0,*,12.88,0.0,*,1.143,0.3192,
LTC,coinbase,1145,0.33,10.49,0.0,*,6.357,0.0,*,4.762,0.0026,*
LTC,coindanslecoin,637,0.18,12.539,0.0,*,8.33,0.0,*,6.32,0.0003,*
LTC,coingecko,5085,1.45,10.743,0.0,*,8.187,0.0,*,5.911,0.0005,*
LTC,coinmetrics,1306,0.37,12.349,0.0,*,4.986,0.0,*,6.208,0.0003,*
LTC,cryptocom,3334,0.95,12.109,0.0,*,5.233,0.0,*,6.328,0.0003,*
LTC,cz_binance,6897,1.97,12.438,0.0,*,5.123,0.0,*,6.088,0.0004,*
LTC,danheld,8192,2.34,12.673,0.0,*,4.493,0.0001,*,6.113,0.0004,*
LTC,defipulse,923,0.26,12.247,0.0,*,5.045,0.0,*,6.336,0.0003,*
LTC,elonmusk,7783,2.22,11.774,0.0,*,7.862,0.0,*,5.609,0.0008,*
LTC,ethereum,561,0.16,6.553,0.0015,*,8.765,0.0,*,6.337,0.0003,*
LTC,ethereumJoseph,210,0.06,16.09,0.0,*,13.979,0.0,*,5.214,0.0014,*
LTC,ethhub_io,24,0.01,16.94,0.0,*,4.867,0.0022,*,2.669,0.0462,*
LTC,godbole17,3507,1.0,12.264,0.0,*,5.032,0.0,*,6.367,0.0003,*
LTC,iamjosephyoung,472,0.13,12.34,0.0,*,5.055,0.0,*,6.354,0.0003,*
LTC,krakenfx,1700,0.48,12.126,0.0,*,5.173,0.0,*,6.42,0.0003,*
LTC,lawmaster,3874,1.1,13.41,0.0,*,4.744,0.0,*,5.903,0.0005,*
LTC,lopp,6062,1.73,12.44,0.0,*,8.504,0.0,*,6.253,0.0003,*
LTC,maxkeiser,25777,7.35,9.762,0.0001,*,5.937,0.0,*,5.981,0.0005,*
LTC,mcshane_writes,5870,1.67,41.933,0.0,*,12.602,0.0,*,6.471,0.0,*
LTC,mcuban,2455,0.7,12.777,0.0,*,4.747,0.0,*,6.189,0.0004,*
LTC,muneeb,2327,0.66,12.237,0.0,*,4.819,0.0,*,6.459,0.0002,*
LTC,namcios,2341,0.67,12.424,0.0,*,4.944,0.0,*,6.367,0.0003,*
LTC,naval,1865,0.53,12.244,0.0,*,5.598,0.0,*,6.828,0.0001,*
LTC,nayibbukele,4063,1.16,12.238,0.0,*,4.641,0.0,*,6.728,0.0002,*
LTC,noshitcoins,2359,0.67,12.256,0.0,*,5.073,0.0,*,6.371,0.0003,*
LTC,novogratz,788,0.22,12.365,0.0,*,4.955,0.0,*,6.324,0.0003,*
LTC,orangepillpod,1855,0.53,12.158,0.0,*,5.158,0.0,*,6.659,0.0002,*
LTC,ournetwork__,82,0.02,12.307,0.0,*,5.029,0.0,*,6.326,0.0003,*
LTC,pete_rizzo_,1610,0.46,12.521,0.0,*,4.853,0.0,*,6.21,0.0003,*
LTC,real_vijay,1312,0.37,12.278,0.0,*,4.994,0.0,*,6.325,0.0003,*
LTC,saylor,1405,0.4,12.319,0.0,*,4.996,0.0,*,6.237,0.0003,*
LTC,shapeshift_io,5,0.0,12.324,0.0,*,4.997,0.0,*,6.309,0.0003,*
LTC,solana,1787,0.51,12.248,0.0,*,4.997,0.0,*,6.335,0.0003,*
LTC,todayindefi,489,0.14,12.295,0.0,*,5.042,0.0,*,6.334,0.0003,*
LTC,zhusu,2349,0.67,12.312,0.0,*,4.984,0.0,*,6.206,0.0003,*
SOL,0xPolygon,3670,1.05,11.829,0.0,*,4.553,0.0,*,6.665,0.0002,*
SOL,100trillionUSD,3215,0.92,12.417,0.0,*,4.451,0.0001,*,6.54,0.0002,*
SOL,APompliano,10940,3.12,11.225,0.0,*,4.493,0.0001,*,6.148,0.0004,*
SOL,AndreCronje123,40,0.01,12.207,0.0,*,4.553,0.0,*,6.634,0.0002,*
SOL,AndreCronjeTech,1506,0.43,11.683,0.0,*,4.557,0.0,*,6.73,0.0002,*
SOL,BTCTN,12128,3.46,11.194,0.0,*,5.188,0.0,*,6.569,0.0002,*
SOL,BY_DeFi,1239,0.35,12.342,0.0,*,4.469,0.0001,*,6.61,0.0002,*
SOL,BarrySilbert,1750,0.5,10.765,0.0,*,8.46,0.0,*,5.767,0.0006,*
SOL,Bitcoin,1389,0.4,18.372,0.0,*,5.25,0.0,*,11.069,0.0,*
SOL,BitcoinMagazine,14566,4.15,12.382,0.0,*,7.922,0.0,*,5.064,0.0017,*
SOL,Blockstream,1791,0.51,12.122,0.0,*,4.645,0.0,*,6.583,0.0002,*
SOL,Blockworks_,8992,2.56,11.782,0.0,*,4.681,0.0,*,6.698,0.0002,*
SOL,CoinDesk,23659,6.74,11.734,0.0,*,9.069,0.0,*,7.268,0.0001,*
SOL,CoinDeskMarkets,777,0.22,12.211,0.0,*,4.54,0.0,*,6.668,0.0002,*
SOL,CoinMarketCap,9791,2.79,11.818,0.0,*,4.979,0.0,*,6.918,0.0001,*
SOL,Cointelegraph,57717,16.45,14.505,0.0,*,8.607,0.0,*,7.075,0.0001,*
SOL,CointelegraphZN,460,0.13,12.182,0.0,*,4.554,0.0,*,6.62,0.0002,*
SOL,DefiantNews,4813,1.37,12.769,0.0,*,4.316,0.0001,*,6.463,0.0002,*
SOL,DylanLeClair_,8131,2.32,13.482,0.0,*,4.275,0.0001,*,6.23,0.0003,*
SOL,ErikVoorhees,6016,1.71,11.57,0.0,*,4.445,0.0001,*,6.882,0.0001,*
SOL,Grayscale,1154,0.33,12.091,0.0,*,4.573,0.0,*,6.663,0.0002,*
SOL,IOHK_Charles,3058,0.87,12.457,0.0,*,4.371,0.0001,*,6.605,0.0002,*
SOL,JamieCrawleyCD,1003,0.29,12.261,0.0,*,4.51,0.0001,*,6.677,0.0002,*
SOL,Liquid_BTC,735,0.21,12.371,0.0,*,4.476,0.0001,*,6.586,0.0002,*
SOL,NeerajKA,10890,3.1,11.962,0.0,*,4.316,0.0001,*,6.656,0.0002,*
SOL,NischalShetty,3238,0.92,12.376,0.0,*,4.492,0.0001,*,6.543,0.0002,*
SOL,OurNetwork__,324,0.09,12.236,0.0,*,4.561,0.0,*,6.639,0.0002,*
SOL,RaoulGMI,8498,2.42,11.868,0.0,*,4.898,0.0,*,6.78,0.0002,*
SOL,SatoshiLite,1174,0.33,1.059,0.3037,,7.494,0.0063,*,3.568,0.0591,
SOL,ShapeShift_io,480,0.14,12.233,0.0,*,4.556,0.0,*,6.656,0.0002,*
SOL,Stacks,2296,0.65,11.953,0.0,*,4.616,0.0,*,6.603,0.0002,*
SOL,THORChain,5086,1.45,12.157,0.0,*,4.336,0.0001,*,6.645,0.0002,*
SOL,Tanzeel_Akhtar,999,0.28,12.159,0.0,*,4.577,0.0,*,6.696,0.0002,*
SOL,Unchained_pod,3129,0.89,12.119,0.0,*,4.579,0.0,*,6.712,0.0002,*
SOL,VitalikButerin,2642,0.75,62.49,0.0,*,6.95,0.0001,*,4.123,0.0063,*
SOL,WeekInEthNews,775,0.22,11.848,0.0,*,4.688,0.0,*,6.67,0.0002,*
SOL,aantonop,357,0.1,13.093,0.0,*,9.637,0.0,*,10.397,0.0,*
SOL,adam3us,10092,2.88,11.053,0.0,*,8.404,0.0,*,0.043,0.958,
SOL,binance,9071,2.59,11.951,0.0,*,4.14,0.0002,*,6.596,0.0002,*
SOL,bitfinex,1473,0.42,11.991,0.0,*,4.52,0.0001,*,6.691,0.0002,*
SOL,brian_armstrong,1285,0.37,17.588,0.0,*,12.305,0.0,*,0.719,0.4874,
SOL,coinbase,1145,0.33,10.362,0.0,*,5.969,0.0,*,5.105,0.0016,*
SOL,coindanslecoin,637,0.18,12.393,0.0,*,4.37,0.0001,*,6.659,0.0002,*
SOL,coingecko,5085,1.45,10.613,0.0,*,4.438,0.0001,*,6.215,0.0003,*
SOL,coinmetrics,1306,0.37,12.229,0.0,*,4.548,0.0,*,6.541,0.0002,*
SOL,cryptocom,3334,0.95,12.002,0.0,*,4.76,0.0,*,6.659,0.0002,*
SOL,cz_binance,6897,1.97,12.278,0.0,*,4.723,0.0,*,6.438,0.0002,*
SOL,danheld,8192,2.34,12.517,0.0,*,4.086,0.0002,*,6.433,0.0002,*
SOL,defipulse,923,0.26,12.127,0.0,*,4.583,0.0,*,6.672,0.0002,*
SOL,elonmusk,7783,2.22,11.638,0.0,*,8.244,0.0,*,5.938,0.0005,*
SOL,ethereum,561,0.16,6.14,0.0022,*,8.036,0.0,*,6.509,0.0002,*
SOL,ethereumJoseph,210,0.06,15.911,0.0,*,14.453,0.0,*,5.638,0.0008,*
SOL,ethhub_io,24,0.01,17.066,0.0,*,4.808,0.0024,*,2.5,0.0579,
SOL,godbole17,3507,1.0,12.11,0.0,*,4.576,0.0,*,6.699,0.0002,*
SOL,iamjosephyoung,472,0.13,12.214,0.0,*,4.592,0.0,*,6.687,0.0002,*
SOL,krakenfx,1700,0.48,12.012,0.0,*,4.709,0.0,*,6.75,0.0002,*
SOL,lawmaster,3874,1.1,13.225,0.0,*,4.393,0.0001,*,6.267,0.0003,*
SOL,lopp,6062,1.73,12.315,0.0,*,4.364,0.0001,*,6.609,0.0002,*
SOL,maxkeiser,25777,7.35,9.689,0.0001,*,5.317,0.0,*,6.066,0.0004,*
SOL,mcshane_writes,5870,1.67,42.803,0.0,*,12.789,0.0,*,6.529,0.0,*
SOL,mcuban,2455,0.7,12.652,0.0,*,4.322,0.0001,*,6.552,0.0002,*
SOL,muneeb,2327,0.66,12.128,0.0,*,4.358,0.0001,*,6.806,0.0001,*
SOL,namcios,2341,0.67,12.27,0.0,*,4.491,0.0001,*,6.702,0.0002,*
SOL,naval,1865,0.53,12.151,0.0,*,5.081,0.0,*,7.178,0.0001,*
SOL,nayibbukele,4063,1.16,12.079,0.0,*,4.227,0.0001,*,7.117,0.0001,*
SOL,noshitcoins,2359,0.67,12.133,0.0,*,4.603,0.0,*,6.71,0.0002,*
SOL,novogratz,788,0.22,12.227,0.0,*,4.507,0.0001,*,6.66,0.0002,*
SOL,orangepillpod,1855,0.53,12.032,0.0,*,4.692,0.0,*,7.047,0.0001,*
SOL,ournetwork__,82,0.02,12.177,0.0,*,4.572,0.0,*,6.664,0.0002,*
SOL,pete_rizzo_,1610,0.46,12.393,0.0,*,4.416,0.0001,*,6.539,0.0002,*
SOL,real_vijay,1312,0.37,12.172,0.0,*,4.541,0.0,*,6.662,0.0002,*
SOL,saylor,1405,0.4,12.193,0.0,*,4.526,0.0001,*,6.552,0.0002,*
SOL,shapeshift_io,5,0.0,12.193,0.0,*,4.539,0.0,*,6.647,0.0002,*
SOL,solana,1787,0.51,12.119,0.0,*,4.538,0.0,*,6.671,0.0002,*
SOL,todayindefi,489,0.14,12.168,0.0,*,4.586,0.0,*,6.672,0.0002,*
SOL,zhusu,2349,0.67,12.198,0.0,*,4.523,0.0001,*,6.548,0.0002,*
XRP,0xPolygon,3670,1.05,11.967,0.0,*,4.854,0.0,*,6.657,0.0002,*
XRP,100trillionUSD,3215,0.92,12.563,0.0,*,4.695,0.0,*,6.539,0.0002,*
XRP,APompliano,10940,3.12,11.344,0.0,*,4.794,0.0,*,6.213,0.0003,*
XRP,AndreCronje123,40,0.01,12.355,0.0,*,4.806,0.0,*,6.63,0.0002,*
XRP,AndreCronjeTech,1506,0.43,11.817,0.0,*,4.89,0.0,*,6.71,0.0002,*
XRP,BTCTN,12128,3.46,11.407,0.0,*,5.383,0.0,*,6.563,0.0002,*
XRP,BY_DeFi,1239,0.35,12.505,0.0,*,4.733,0.0,*,6.598,0.0002,*
XRP,BarrySilbert,1750,0.5,10.963,0.0,*,8.277,0.0,*,5.733,0.0007,*
XRP,Bitcoin,1389,0.4,17.838,0.0,*,5.507,0.0,*,10.394,0.0,*
XRP,BitcoinMagazine,14566,4.15,12.575,0.0,*,4.69,0.0,*,5.012,0.0018,*
XRP,Blockstream,1791,0.51,12.263,0.0,*,4.901,0.0,*,6.573,0.0002,*
XRP,Blockworks_,8992,2.56,11.931,0.0,*,5.009,0.0,*,6.692,0.0002,*
XRP,CoinDesk,23659,6.74,11.947,0.0,*,4.981,0.0,*,7.241,0.0001,*
XRP,CoinDeskMarkets,777,0.22,12.368,0.0,*,4.802,0.0,*,6.662,0.0002,*
XRP,CoinMarketCap,9791,2.79,12.059,0.0,*,5.206,0.0,*,6.86,0.0001,*
XRP,Cointelegraph,57717,16.45,14.673,0.0,*,8.394,0.0,*,6.992,0.0001,*
XRP,CointelegraphZN,460,0.13,12.333,0.0,*,4.821,0.0,*,6.613,0.0002,*
XRP,DefiantNews,4813,1.37,12.959,0.0,*,4.56,0.0,*,6.458,0.0002,*
XRP,DylanLeClair_,8131,2.32,13.693,0.0,*,4.414,0.0001,*,6.24,0.0003,*
XRP,ErikVoorhees,6016,1.71,11.664,0.0,*,4.833,0.0,*,6.859,0.0001,*
XRP,Grayscale,1154,0.33,12.232,0.0,*,4.838,0.0,*,6.651,0.0002,*
XRP,IOHK_Charles,3058,0.87,12.607,0.0,*,4.64,0.0,*,6.586,0.0002,*
XRP,JamieCrawleyCD,1003,0.29,12.423,0.0,*,4.767,0.0,*,6.666,0.0002,*
XRP,Liquid_BTC,735,0.21,12.528,0.0,*,4.739,0.0,*,6.577,0.0002,*
XRP,NeerajKA,10890,3.1,12.093,0.0,*,4.563,0.0,*,6.665,0.0002,*
XRP,NischalShetty,3238,0.92,12.555,0.0,*,4.727,0.0,*,6.529,0.0002,*
XRP,OurNetwork__,324,0.09,12.389,0.0,*,4.82,0.0,*,6.626,0.0002,*
XRP,RaoulGMI,8498,2.42,11.995,0.0,*,5.274,0.0,*,6.723,0.0002,*
XRP,SatoshiLite,1174,0.33,1.005,0.3162,,7.766,0.0054,*,3.675,0.0554,
XRP,ShapeShift_io,480,0.14,12.383,0.0,*,4.808,0.0,*,6.649,0.0002,*
XRP,Stacks,2296,0.65,12.1,0.0,*,4.874,0.0,*,6.599,0.0002,*
XRP,THORChain,5086,1.45,12.296,0.0,*,4.622,0.0,*,6.63,0.0002,*
XRP,Tanzeel_Akhtar,999,0.28,12.309,0.0,*,4.835,0.0,*,6.685,0.0002,*
XRP,Unchained_pod,3129,0.89,12.264,0.0,*,4.849,0.0,*,6.704,0.0002,*
XRP,VitalikButerin,2642,0.75,61.861,0.0,*,3.773,0.0005,*,3.885,0.0088,*
XRP,WeekInEthNews,775,0.22,12.0,0.0,*,4.95,0.0,*,6.662,0.0002,*
XRP,aantonop,357,0.1,8.558,0.0,*,9.721,0.0,*,10.421,0.0,*
XRP,adam3us,10092,2.88,11.049,0.0,*,4.26,0.0001,*,0.137,0.8722,
XRP,binance,9071,2.59,12.127,0.0,*,4.273,0.0001,*,6.608,0.0002,*
XRP,bitfinex,1473,0.42,12.146,0.0,*,4.798,0.0,*,6.69,0.0002,*
XRP,brian_armstrong,1285,0.37,17.719,0.0,*,11.954,0.0,*,1.096,0.3343,
XRP,coinbase,1145,0.33,10.497,0.0,*,6.307,0.0,*,5.081,0.0017,*
XRP,coindanslecoin,637,0.18,12.562,0.0,*,4.619,0.0,*,6.649,0.0002,*
XRP,coingecko,5085,1.45,10.754,0.0,*,4.764,0.0,*,6.214,0.0003,*
XRP,coinmetrics,1306,0.37,12.374,0.0,*,4.801,0.0,*,6.537,0.0002,*
XRP,cryptocom,3334,0.95,12.131,0.0,*,5.037,0.0,*,6.649,0.0002,*
XRP,cz_binance,6897,1.97,12.454,0.0,*,4.895,0.0,*,6.425,0.0003,*
XRP,danheld,8192,2.34,12.669,0.0,*,4.344,0.0001,*,6.408,0.0003,*
XRP,defipulse,923,0.26,12.273,0.0,*,4.855,0.0,*,6.663,0.0002,*
XRP,elonmusk,7783,2.22,11.807,0.0,*,4.225,0.0001,*,5.917,0.0005,*
XRP,ethereum,561,0.16,6.499,0.0015,*,8.642,0.0,*,6.508,0.0002,*
XRP,ethereumJoseph,210,0.06,16.069,0.0,*,3.315,0.0016,*,5.569,0.0008,*
XRP,ethhub_io,24,0.01,17.037,0.0,*,4.634,0.0031,*,2.517,0.0566,
XRP,godbole17,3507,1.0,12.282,0.0,*,4.847,0.0,*,6.696,0.0002,*
XRP,iamjosephyoung,472,0.13,12.362,0.0,*,4.86,0.0,*,6.676,0.0002,*
XRP,krakenfx,1700,0.48,12.147,0.0,*,4.983,0.0,*,6.755,0.0002,*
XRP,lawmaster,3874,1.1,13.447,0.0,*,4.531,0.0001,*,6.22,0.0003,*
XRP,lopp,6062,1.73,12.475,0.0,*,4.619,0.0,*,6.568,0.0002,*
XRP,maxkeiser,25777,7.35,9.793,0.0001,*,5.657,0.0,*,6.162,0.0004,*
XRP,mcshane_writes,5870,1.67,41.343,0.0,*,12.665,0.0,*,6.395,0.0,*
XRP,mcuban,2455,0.7,12.797,0.0,*,4.549,0.0,*,6.53,0.0002,*
XRP,muneeb,2327,0.66,12.258,0.0,*,4.636,0.0,*,6.779,0.0002,*
XRP,namcios,2341,0.67,12.439,0.0,*,4.754,0.0,*,6.69,0.0002,*
XRP,naval,1865,0.53,12.272,0.0,*,5.337,0.0,*,7.202,0.0001,*
XRP,nayibbukele,4063,1.16,12.244,0.0,*,4.458,0.0001,*,7.01,0.0001,*
XRP,noshitcoins,2359,0.67,12.277,0.0,*,4.898,0.0,*,6.696,0.0002,*
XRP,novogratz,788,0.22,12.384,0.0,*,4.767,0.0,*,6.655,0.0002,*
XRP,orangepillpod,1855,0.53,12.18,0.0,*,4.95,0.0,*,7.09,0.0001,*
XRP,ournetwork__,82,0.02,12.328,0.0,*,4.835,0.0,*,6.655,0.0002,*
XRP,pete_rizzo_,1610,0.46,12.542,0.0,*,4.656,0.0,*,6.536,0.0002,*
XRP,real_vijay,1312,0.37,12.306,0.0,*,4.806,0.0,*,6.653,0.0002,*
XRP,saylor,1405,0.4,12.335,0.0,*,4.809,0.0,*,6.565,0.0002,*
XRP,shapeshift_io,5,0.0,12.345,0.0,*,4.807,0.0,*,6.638,0.0002,*
XRP,solana,1787,0.51,12.271,0.0,*,4.795,0.0,*,6.666,0.0002,*
XRP,todayindefi,489,0.14,12.315,0.0,*,4.849,0.0,*,6.665,0.0002,*
XRP,zhusu,2349,0.67,12.349,0.0,*,4.782,0.0,*,6.543,0.0002,*
